자치구명,법정동명,건물면적(㎡),물건금액(만원)
강남구,대치동,136.68,415000
강남구,대치동,97.35,289000
강남구,대치동,114.97,374000
강남구,삼성동,156.857,610000
강남구,대치동,120.76,317000
강남구,역삼동,116.285,305000
강남구,도곡동,104.01,189500
강남구,개포동,177.19,340000
강남구,압구정동,183.41,765000
강남구,대치동,160.76,450000
강남구,대치동,161.47,553000
강남구,대치동,127.75,422000
강남구,개포동,96.955,385000
강남구,개포동,182.2,379000
강남구,대치동,161.36,450000
강남구,대치동,128.01,380000
강남구,삼성동,152.98,365000
강남구,청담동,107.22,214000
강남구,압구정동,196.7,748000
강남구,개포동,161.0,349000
강남구,논현동,171.2,182000
강남구,청담동,109.31,257500
강남구,대치동,120.76,317000
강남구,역삼동,95.3,85000
강남구,수서동,163.68,250000
강남구,역삼동,116.285,324000
강남구,역삼동,116.285,324000
강남구,압구정동,109.24,467000
강남구,청담동,117.19,195000
강남구,대치동,120.76,324000
강남구,삼성동,152.98,367000
강남구,수서동,101.88,197000
강남구,삼성동,122.485,299000
강남구,삼성동,85.0,186000
강남구,압구정동,144.7,580000
강남구,대치동,97.35,278000
강남구,대치동,97.35,279700
강남구,개포동,182.2,350000
강남구,도곡동,122.81,320000
강남구,청담동,107.22,220000
강남구,청담동,90.197,348000
강남구,압구정동,183.41,760000
강남구,삼성동,85.0,186000
강남구,청담동,226.74,740500
강남구,압구정동,160.51,650000
강남구,개포동,96.955,375000
강남구,도곡동,108.4,230000
강남구,압구정동,91.21,385000
강남구,도곡동,244.224,680000
강남구,청담동,107.22,215000
강남구,대치동,127.75,413000
강남구,도곡동,164.97,437000
강남구,청담동,653.87,1300000
강남구,삼성동,105.5,269000
강남구,도곡동,152.74,400000
강남구,압구정동,151.93,655000
강남구,압구정동,196.21,900000
강남구,대치동,115.59,297000
강남구,대치동,114.59,276500
강남구,도곡동,185.622,550000
강남구,대치동,115.59,315000
강남구,개포동,131.83,310000
강남구,압구정동,163.67,560000
강남구,도곡동,130.17,315000
강남구,압구정동,144.7,595000
강남구,대치동,115.59,295000
강남구,개포동,165.08,370000
강남구,압구정동,163.67,570000
강남구,역삼동,132.88,207000
강남구,청담동,100.93,191000
강남구,개포동,104.43,245000
강남구,개포동,133.46,300000
강남구,압구정동,183.41,745000
강남구,압구정동,102.35,350000
강남구,압구정동,160.29,660000
강남구,논현동,111.36,141000
강남구,압구정동,163.67,529000
강남구,대치동,149.78,430000
강남구,자곡동,91.96,200000
강남구,대치동,189.98,560000
강남구,대치동,121.089,310000
강남구,압구정동,140.9,405000
강남구,압구정동,107.64,400000
강남구,압구정동,111.5,389000
강남구,압구정동,105.45,450000
강남구,도곡동,163.702,400000
강남구,압구정동,106.22,370000
강남구,압구정동,131.48,495000
강남구,개포동,131.83,313000
강남구,도곡동,107.53,225000
강남구,도곡동,112.13,246000
강남구,역삼동,216.97,420000
강남구,도곡동,176.72,477000
강남구,자곡동,91.95,178000
강남구,역삼동,142.06,336000
강남구,세곡동,113.261,281000
강남구,압구정동,171.43,640000
강남구,압구정동,140.9,445000
강남구,압구정동,170.38,610000
강남구,도곡동,104.01,185000
강남구,도곡동,153.71,247000
강남구,도곡동,119.89,362000
강남구,대치동,145.83,490000
강남구,자곡동,101.95,194500
강남구,압구정동,152.28,640000
강남구,도곡동,243.36,550000
강남구,논현동,135.54,175000
강남구,도곡동,164.97,517000
강남구,대치동,190.47,525000
강남구,수서동,129.45,198500
강남구,압구정동,144.2,525000
강남구,삼성동,85.0,177000
강남구,압구정동,105.62,333000
강남구,도곡동,209.03,385000
강남구,수서동,97.63,182000
강남구,세곡동,114.69,159000
강남구,일원동,101.97,221000
강남구,압구정동,115.23,417000
강남구,역삼동,92.623,272000
강남구,일원동,134.71,280000
강남구,압구정동,157.36,640000
강남구,압구정동,107.64,400000
강남구,역삼동,638.56,680000
강남구,도곡동,146.754,250000
강남구,대치동,85.0,247000
강남구,도곡동,111.38,169000
강남구,자곡동,101.94,210000
강남구,대치동,94.49,383000
강남구,일원동,101.97,223000
강남구,도곡동,100.14,185000
강남구,도곡동,124.1,255000
강남구,압구정동,140.9,435000
강남구,개포동,131.322,588000
강남구,도곡동,106.39,349000
강남구,압구정동,144.7,565000
강남구,압구정동,154.12,530000
강남구,압구정동,106.71,390000
강남구,논현동,126.223,505000
강남구,도곡동,122.81,295000
강남구,논현동,539.78,950000
강남구,청담동,483.84,800000
강남구,논현동,111.6,132000
강남구,청담동,196.53,330000
강남구,압구정동,106.48,335000
강남구,압구정동,118.63,399000
강남구,자곡동,101.95,199000
강남구,청담동,196.53,330000
